university_name,country,year,ranking_source,rank,score
Victoria University of Wellington,New Zealand,2026,QS,240,51.3
Politecnico di Torino,Italy,2026,QS,242,51.2
Georg-August-Universität Göttingen,Germany,2026,QS,243,51.1
Hamad Bin Khalifa University,Qatar,2026,QS,244,50.9
Hong Kong Baptist University,"Hong Kong SAR, China",2026,QS,244,50.9
University College Cork,Ireland,2026,QS,246,50.7
Beijing Normal University,China (Mainland),2026,QS,247,50.6
Dartmouth College,United States of America,2026,QS,247,50.6
"University of Massachusetts, Amherst",United States of America,2026,QS,247,50.6
Vanderbilt University,United States of America,2026,QS,250,50.4
Universiti Teknologi Petronas (UTP),Malaysia,2026,QS,251,50.2
University of Strathclyde,United Kingdom,2026,QS,251,50.2
Taylor's University (Malaysia),Malaysia,2026,QS,253,50
Technische Universität Darmstadt,Germany,2026,QS,253,50
Bandung Institute of Technology (ITB),Indonesia,2026,QS,255,49.9
Harbin Institute of Technology,China (Mainland),2026,QS,256,49.8
Tianjin University,China (Mainland),2026,QS,257,49.7
Université Paris 1 Panthéon-Sorbonne,France,2026,QS,257,49.7
Beijing Institute of Technology,China (Mainland),2026,QS,259,49.5
Universidad Nacional de Colombia,Colombia,2026,QS,259,49.5
University of Canterbury,New Zealand,2026,QS,261,49.4
University of Aberdeen,United Kingdom,2026,QS,262,49.3
University of Navarra,Spain,2026,QS,262,49.3
University of Surrey,United Kingdom,2026,QS,262,49.3
Charles University,Czechia,2026,QS,265,49
Universitat Pompeu Fabra,Spain,2026,QS,265,49
Norwegian University of Science And Technology,Norway,2026,QS,267,48.9
Griffith University,Australia,2026,QS,268,48.7
Middle East Technical University,Türkiye,2026,QS,269,48.5
UCSI University,Malaysia,2026,QS,269,48.5
University of Warsaw,Poland,2026,QS,271,48.3
American University of Sharjah (AUS),United Arab Emirates,2026,QS,272,48.2
North Carolina State University,United States of America,2026,QS,272,48.2
Universität zu Köln,Germany,2026,QS,272,48.2
University of Virginia,United States of America,2026,QS,275,48.1
Sun Yat-sen University,China (Mainland),2026,QS,276,48
University of Milan,Italy,2026,QS,276,48
University of Sussex,United Kingdom,2026,QS,278,47.9
Radboud University Nijmegen,Netherlands,2026,QS,279,47.6
University of Antwerp,Belgium,2026,QS,280,47.4
University of Pittsburgh,United States of America,2026,QS,281,47.3
University of Waikato,New Zealand,2026,QS,281,47.3
Dalhousie University,Canada,2026,QS,283,47.2
University of Galway / Ollscoil na Gaillimhe,Ireland,2026,QS,284,47.1
Georgetown University,United States of America,2026,QS,285,47
University of Macau,"Macao SAR, China",2026,QS,285,47
Heriot-Watt University,United Kingdom,2026,QS,287,46.8
Universitas Airlangga,Indonesia,2026,QS,287,46.8
University of Arizona,United States of America,2026,QS,287,46.8
University of Bergen,Norway,2026,QS,287,46.8
University of The Witwatersrand,South Africa,2026,QS,291,46.4
Swansea University,United Kingdom,2026,QS,292,46.2
"University of California, Irvine",United States of America,2026,QS,293,46.1
Case Western Reserve University,United States of America,2026,QS,294,46
Swinburne University of Technology,Australia,2026,QS,294,46
University of Notre Dame,United States of America,2026,QS,294,46
Vrije Universiteit Brussel (VUB),Belgium,2026,QS,294,46
Istanbul Technical University,Türkiye,2026,QS,298,45.8
University of Colorado Boulder,United States of America,2026,QS,299,45.6
Université Paris Cité,France,2026,QS,300,45.5
Universidad Carlos III de Madrid,Spain,2026,QS,301,45.4
Stellenbosch University,South Africa,2026,QS,302,45.2
Jagiellonian University,Poland,2026,QS,303,45.1
University of Southern Denmark,Denmark,2026,QS,303,45.1
Xi'an Jiaotong University,China (Mainland),2026,QS,305,45
Aalborg University,Denmark,2026,QS,306,44.9
Indiana University Bloomington,United States of America,2026,QS,306,44.9
Simon Fraser University,Canada,2026,QS,308,44.7
University of Johannesburg,South Africa,2026,QS,308,44.7
"City St George’s, University of London",United Kingdom,2026,QS,310,44.5
Linköping University,Sweden,2026,QS,310,44.5
