QS_Rank,QS_Previous_Rank,QS_University_Name,QS_Country,QS_Region,QS_Size,QS_Focus,QS_Research_Level,QS_Status,QS_Academic_Reputation_Score,THE_Rank,THE_University_Name,THE_Country,THE_Student_Population,THE_Students_to_Staff_Ratio,THE_International_Students,THE_Female_to_Male_Ratio,THE_Overall_Score,THE_Teaching,THE_Research_Environment,THE_Research_Quality,THE_Industry_Impact,THE_International_Outlook,THE_Year,University_Name,Country,Year,Data_Source,QS_THE_Match_Status
701-710,691-700,Shiraz University,Iran (Islamic Republic of),Asia,L,CO,VH,Public,10.2,,,,,,,,,,,,,,,Shiraz University,Iran (Islamic Republic of),2026,QS only,QS record not matched in THE
,,,,,,,,,,708.0,Shiraz University of Medical Sciences,Iran,"9,998",9.8,3%,55 : 45,41.312,46.6,19.5,58.6,58.0,26.8,2026.0,Shiraz University of Medical Sciences,Iran,2026,THE only,THE record not matched in QS
,,,,,,,,,,571.0,Shiraz University of Technology,Iran,"1,747",14.9,0%,38 : 62,44.569,34.2,22.4,77.6,45.6,38.4,2026.0,Shiraz University of Technology,Iran,2026,THE only,THE record not matched in QS
1201-1400,,Shiv Nadar University,India,Asia,S,CO,VH,Private for Profit,7.5,1444.0,Shiv Nadar University,India,"2,290",9.2,2%,43 : 57,28.176,31.7,8.1,40.6,27.7,42.5,2026.0,Shiv Nadar University,India,2026,QS + THE,Matched
,,,,,,,,,,1237.0,"Shivaji University, Kolhapur",India,"6,263",15.4,0%,43 : 57,31.56,34.9,16.6,45.5,29.7,21.5,2026.0,"Shivaji University, Kolhapur",India,2026,THE only,THE record not matched in QS
,,,,,,,,,,1821.0,Shizuoka University,Japan,"9,821",14.9,3%,30 : 70,21.6645,20.9,16.5,18.5,66.1,33.6,2026.0,Shizuoka University,Japan,2026,THE only,THE record not matched in QS
503,587,Shoolini University of Biotechnology and Management Sciences,India,Asia,S,CO,VH,Private not for Profit,16.2,454.0,Shoolini University of Biotechnology and Management Sciences,India,"3,676",16.4,1%,50 : 50,47.9845,27.8,24.1,88.7,25.8,68.7,2026.0,Shoolini University of Biotechnology and Management Sciences,India,2026,QS + THE,Matched
,,,,,,,,,,1609.0,Shree Guru Gobind Singh Tricentenary University,India,"7,375",10.3,0%,50 : 50,25.5135,24.2,10.1,43.2,16.2,24.5,2026.0,Shree Guru Gobind Singh Tricentenary University,India,2026,THE only,THE record not matched in QS
,,,,,,,,,,897.0,Shri Mata Vaishno Devi University,India,"2,983",20.7,0%,38 : 62,37.2055,29.4,18.5,67.7,22.5,26.1,2026.0,Shri Mata Vaishno Devi University,India,2026,THE only,THE record not matched in QS
1001-1200,1001-1200,Siberian Federal University,Russian Federation,Europe,M,CO,VH,Public,7.8,986.0,Siberian Federal University,Russian Federation,"8,610",19.0,13%,47 : 53,35.746500000000005,34.2,26.9,36.6,61.1,59.1,2026.0,Siberian Federal University,Russian Federation,2026,QS + THE,Matched
,,,,,,,,,,2155.0,Siberian State Medical University,Russian Federation,"8,785",11.6,16%,59 : 41,14.012499999999998,21.3,11.1,4.0,17.5,34.8,2026.0,Siberian State Medical University,Russian Federation,2026,THE only,THE record not matched in QS
,,,,,,,,,,229.0,Sichuan University,China,"49,146",15.9,5%,,57.248,46.5,48.1,74.7,99.6,42.5,2026.0,Sichuan University,China,2026,THE only,THE record not matched in QS
324,336,Sichuan University,China (Mainland),Asia,XL,FC,VH,Public,30.8,,,,,,,,,,,,,,,Sichuan University,China (Mainland),2026,QS only,QS record not matched in THE
,,,,,,,,,,1435.0,Sidi Mohamed Ben Abdellah University,Morocco,"100,319",44.4,2%,54 : 46,28.278,25.2,11.9,48.2,24.2,26.2,2026.0,Sidi Mohamed Ben Abdellah University,Morocco,2026,THE only,THE record not matched in QS
,,,,,,,,,,1878.0,Sikkim Manipal University,India,"4,411",13.2,2%,42 : 58,20.529,20.8,9.6,29.6,22.1,24.6,2026.0,Sikkim Manipal University,India,2026,THE only,THE record not matched in QS
,,,,,,,,,,909.0,Siksha ‘O’ Anusandhan,India,"11,466",9.4,3%,58 : 42,37.043,47.1,20.4,44.9,50.0,23.5,2026.0,Siksha ‘O’ Anusandhan,India,2026,THE only,THE record not matched in QS
1201-1400,1201-1400,"Siksha ‘O’ Anusandhan (Deemed to be University), SOA",India,Asia,L,FO,VH,Private not for Profit,8.2,,,,,,,,,,,,,,,"Siksha ‘O’ Anusandhan (Deemed to be University), SOA",India,2026,QS only,QS record not matched in THE
,,,,,,,,,,1141.0,Silesian University of Technology,Poland,"16,354",11.2,6%,31 : 69,33.0305,27.7,17.7,50.7,45.4,36.0,2026.0,Silesian University of Technology,Poland,2026,THE only,THE record not matched in QS
1001-1200,1001-1200,Silesian University of Technology in Gliwice,Poland,Europe,L,FO,VH,Public,8.7,,,,,,,,,,,,,,,Silesian University of Technology in Gliwice,Poland,2026,QS only,QS record not matched in THE
1401+,1401+,Silpakorn University,Thailand,Asia,L,CO,HI,Public,10.4,1865.0,Silpakorn University,Thailand,"29,673",21.9,2%,68 : 32,20.853,21.4,15.6,19.6,46.4,30.4,2026.0,Silpakorn University,Thailand,2026,QS + THE,Matched
308,319,Simon Fraser University,Canada,Americas,L,CO,VH,Public,34.9,335.0,Simon Fraser University,Canada,"26,776",24.9,31%,54 : 46,52.312,26.9,35.6,79.7,83.5,90.7,2026.0,Simon Fraser University,Canada,2026,QS + THE,Matched
511,585,Singapore Management University,Singapore,Asia,M,SP,VH,Public,19.4,,,,,,,,,,,,,,,Singapore Management University,Singapore,2026,QS only,QS record not matched in THE
519,440,Singapore University of Technology and Design,Singapore,Asia,S,SP,VH,,11.0,,,,,,,,,,,,,,,Singapore University of Technology and Design,Singapore,2026,QS only,QS record not matched in THE
,,,,,,,,,,1812.0,Sinop University,Turkey,"8,888",28.3,1%,56 : 44,21.8685,9.9,12.5,40.8,18.2,31.4,2026.0,Sinop University,Turkey,2026,THE only,THE record not matched in QS
,,,,,,,,,,1873.0,Sivas Cumhuriyet University,Turkey,"34,861",24.9,11%,53 : 47,20.657,14.9,9.9,33.4,19.2,34.7,2026.0,Sivas Cumhuriyet University,Turkey,2026,THE only,THE record not matched in QS
1201-1400,1001-1200,Slovak University of Agriculture in Nitra,Slovakia,Europe,S,SP,HI,Public,8.9,1411.0,Slovak University of Agriculture in Nitra,Slovakia,"4,478",12.5,5%,54 : 46,28.5155,27.5,19.3,34.0,22.9,49.2,2026.0,Slovak University of Agriculture in Nitra,Slovakia,2026,QS + THE,Matched
1001-1200,1001-1200,Slovak University of Technology in Bratislava,Slovakia,Europe,M,FO,VH,Public,10.8,1631.0,Slovak University of Technology in Bratislava,Slovakia,"10,809",12.9,19%,33 : 67,25.2725,28.7,14.5,24.7,45.4,45.0,2026.0,Slovak University of Technology in Bratislava,Slovakia,2026,QS + THE,Matched
511,508,SOAS University of London,United Kingdom,Europe,M,FO,VH,Public,24.7,477.0,SOAS University of London,United Kingdom,"5,395",15.0,41%,63 : 37,46.998,38.7,34.7,59.9,38.9,79.9,2026.0,SOAS University of London,United Kingdom,2026,QS + THE,Matched
,,,,,,,,,,1819.0,Sofia University,Bulgaria,"21,579",7.4,8%,65 : 35,21.7595,27.1,12.3,21.7,24.7,36.0,2026.0,Sofia University,Bulgaria,2026,THE only,THE record not matched in QS
731-740,661-670,"Sofia University ""St. Kliment Ohridski""",Bulgaria,Europe,L,CO,VH,Public,16.0,,,,,,,,,,,,,,,"Sofia University ""St. Kliment Ohridski""",Bulgaria,2026,QS only,QS record not matched in THE
558,576,Sogang University,Republic of Korea,Asia,M,CO,VH,Private not for Profit,27.3,,,,,,,,,,,,,,,Sogang University,Republic of Korea,2026,QS only,QS record not matched in THE
,,,,,,,,,,906.0,Sogang University,South Korea,"10,317",25.0,18%,46 : 54,37.1445,30.9,31.4,42.6,73.7,42.6,2026.0,Sogang University,South Korea,2026,THE only,THE record not matched in QS
,,,,,,,,,,1425.0,Sohag University,Egypt,"67,926",22.2,1%,58 : 42,28.362,15.0,9.2,55.1,20.6,52.2,2026.0,Sohag University,Egypt,2026,THE only,THE record not matched in QS
951-1000,1001-1200,Sohar University,Oman,Asia,S,FO,VH,Private not for Profit,8.1,,,,,,,,,,,,,,,Sohar University,Oman,2026,QS only,QS record not matched in THE
1401+,,Soka University,Japan,Asia,M,CO,MD,Private not for Profit,5.9,,,,,,,,,,,,,,,Soka University,Japan,2026,QS only,QS record not matched in THE
801-850,641-650,Soochow University,China (Mainland),Asia,XL,CO,VH,Public,9.2,,,,,,,,,,,,,,,Soochow University,China (Mainland),2026,QS only,QS record not matched in THE
,,,,,,,,,,544.0,"Soochow University, China",China,"48,737",15.8,2%,50 : 50,45.324,29.3,26.4,77.6,92.8,27.1,2026.0,"Soochow University, China",China,2026,THE only,THE record not matched in QS
,,,,,,,,,,1898.0,"Soochow University, Taiwan",Taiwan,"15,287",35.9,3%,59 : 41,20.1405,14.6,18.0,23.0,27.4,34.9,2026.0,"Soochow University, Taiwan",Taiwan,2026,THE only,THE record not matched in QS
1201-1400,1201-1400,Sookmyung Women's University,Republic of Korea,Asia,M,CO,HI,Private for Profit,6.9,,,,,,,,,,,,,,,Sookmyung Women's University,Republic of Korea,2026,QS only,QS record not matched in THE
1001-1200,1001-1200,Soonchunhyang University,Republic of Korea,Asia,M,FC,VH,Private not for Profit,7.7,,,,,,,,,,,,,,,Soonchunhyang University,Republic of Korea,2026,QS only,QS record not matched in THE
,,,,,,,,,,1289.0,Soonchunhyang University,South Korea,"8,983",19.4,6%,50 : 50,30.5245,22.6,27.9,35.8,63.6,33.1,2026.0,Soonchunhyang University,South Korea,2026,THE only,THE record not matched in QS
1401+,1401+,Soongsil University,Republic of Korea,Asia,L,FO,VH,Private for Profit,3.4,,,,,,,,,,,,,,,Soongsil University,Republic of Korea,2026,QS only,QS record not matched in THE
951-1000,951-1000,Sophia University,Japan,Asia,L,CO,HI,Private not for Profit,18.7,1930.0,Sophia University,Japan,"13,016",12.2,12%,60 : 40,19.1205,22.5,11.1,13.9,33.6,50.0,2026.0,Sophia University,Japan,2026,QS + THE,Matched
72,63,Sorbonne University (merged from Paris IV & UPMC),France,Europe,XL,FC,VH,Public,93.2,76.0,Sorbonne University,France,"38,923",13.6,23%,61 : 39,70.394,67.6,59.2,81.6,73.1,78.4,2026.0,Sorbonne University (merged from Paris IV & UPMC),France,2026,QS + THE,Matched
,,,,,,,,,,742.0,South China Normal University,China,"36,468",19.9,4%,,40.2795,24.5,24.9,67.1,75.4,35.8,2026.0,South China Normal University,China,2026,THE only,THE record not matched in QS
,,,,,,,,,,280.0,South China University of Technology,China,"41,221",12.0,7%,39 : 61,55.257,39.0,39.1,84.0,99.7,43.0,2026.0,South China University of Technology,China,2026,THE only,THE record not matched in QS
377,385,South China University of Technology,China (Mainland),Asia,XL,FO,VH,Public,18.8,,,,,,,,,,,,,,,South China University of Technology,China (Mainland),2026,QS only,QS record not matched in THE
,,,,,,,,,,1115.0,South Dakota Mines,United States,"2,057",12.5,5%,24 : 76,33.467,25.8,21.3,42.9,73.1,51.8,2026.0,South Dakota Mines,United States,2026,THE only,THE record not matched in QS
951-1000,901-950,South Ural State University,Russian Federation,Europe,L,CO,VH,Public,8.6,,,,,,,,,,,,,,,South Ural State University,Russian Federation,2026,QS only,QS record not matched in THE
,,,,,,,,,,1401.0,South Valley University (Egypt),Egypt,"65,017",29.3,0%,56 : 44,28.619999999999997,12.8,9.3,58.9,19.3,49.4,2026.0,South Valley University (Egypt),Egypt,2026,THE only,THE record not matched in QS
,,,,,,,,,,292.0,Southeast University,China,"43,942",13.4,4%,35 : 65,54.6925,39.3,46.3,73.7,99.8,47.6,2026.0,Southeast University,China,2026,THE only,THE record not matched in QS
392,428,"Southeast University, China",China (Mainland),Asia,XL,FC,VH,Public,21.1,,,,,,,,,,,,,,,"Southeast University, China",China (Mainland),2026,QS only,QS record not matched in THE
638,576,Southern Cross University,Australia,Oceania,M,CO,VH,Public,6.0,499.0,Southern Cross University,Australia,"8,883",43.0,22%,69 : 31,46.3175,24.4,29.9,72.8,66.9,79.1,2026.0,Southern Cross University,Australia,2026,QS + THE,Matched
1001-1200,951-1000,Southern Federal University,Russian Federation,Europe,L,CO,VH,Public,7.0,1688.0,Southern Federal University,Russian Federation,"18,741",12.8,15%,57 : 43,24.246,23.8,16.3,24.6,38.7,47.6,2026.0,Southern Federal University,Russian Federation,2026,QS + THE,Matched
,,,,,,,,,,838.0,Southern Illinois University Carbondale,United States,"9,238",13.7,7%,53 : 47,38.17,38.3,26.3,43.7,74.8,41.9,2026.0,Southern Illinois University Carbondale,United States,2026,THE only,THE record not matched in QS
,,,,,,,,,,277.0,Southern Medical University,China,"18,620",10.7,7%,,55.485,45.9,38.9,84.2,76.4,31.3,2026.0,Southern Medical University,China,2026,THE only,THE record not matched in QS
1001-1200,1001-1200,Southern Methodist University,United States of America,Americas,M,CO,VH,Private not for Profit,6.4,,,,,,,,,,,,,,,Southern Methodist University,United States,2026,QS only,QS record not matched in THE
,,,,,,,,,,162.0,Southern University of Science and Technology (SUSTech),China,"8,193",9.6,1%,,60.9575,39.6,44.2,93.9,88.5,63.3,2026.0,Southern University of Science and Technology (SUSTech),China,2026,THE only,THE record not matched in QS
343,284,Southern University of Science and Technology (SUSTech),China (Mainland),Asia,M,FO,VH,Public,14.9,,,,,,,,,,,,,,,Southern University of Science and Technology (SUSTech),China (Mainland),2026,QS only,QS record not matched in THE
,,,,,,,,,,836.0,Southwest Jiaotong University,China,"49,014",15.4,1%,33 : 67,38.1925,26.2,25.4,60.2,83.0,22.9,2026.0,Southwest Jiaotong University,China,2026,THE only,THE record not matched in QS
,,,,,,,,,,1607.0,Southwest Petroleum University,China,"41,268",19.6,1%,35 : 65,25.5225,17.7,15.3,37.5,77.1,20.4,2026.0,Southwest Petroleum University,China,2026,THE only,THE record not matched in QS
1001-1200,1001-1200,Southwest University,China (Mainland),Asia,XL,CO,VH,Public,3.2,,,,,,,,,,,,,,,Southwest University,China (Mainland),2026,QS only,QS record not matched in THE
,,,,,,,,,,873.0,SR University,India,"6,010",15.9,1%,50 : 50,37.685,15.7,13.9,85.4,20.0,34.7,2026.0,SR University,India,2026,THE only,THE record not matched in QS
,,,,,,,,,,2102.0,Sri Lanka Institute of Information Technology,Sri Lanka,"15,304",30.5,0%,41 : 59,15.393999999999998,11.1,10.0,20.0,45.8,18.5,2026.0,Sri Lanka Institute of Information Technology,Sri Lanka,2026,THE only,THE record not matched in QS
,,,,,,,,,,1926.0,Sri Ramachandra Institute of Higher Education and Research,India,"8,949",13.5,5%,61 : 39,19.2775,25.4,12.6,16.3,25.7,29.5,2026.0,Sri Ramachandra Institute of Higher Education and Research,India,2026,THE only,THE record not matched in QS
,,,,,,,,,,1685.0,Sri Venkateswara University,India,"6,670",15.5,0%,50 : 50,24.2815,36.9,10.6,23.6,26.3,29.2,2026.0,Sri Venkateswara University,India,2026,THE only,THE record not matched in QS
,,,,,,,,,,1976.0,Srinakharinwirot University,Thailand,"29,327",19.0,2%,67 : 33,18.396,23.3,10.5,19.5,20.5,24.1,2026.0,Srinakharinwirot University,Thailand,2026,THE only,THE record not matched in QS
1001-1200,1001-1200,SRM Institute of Science and Technology (f.k.a SRM University),India,Asia,XL,CO,VH,Private not for Profit,14.1,1050.0,SRM Institute of Science and Technology,India,"53,777",13.1,2%,43 : 57,34.61600000000001,25.0,13.6,67.4,27.8,26.2,2026.0,SRM Institute of Science and Technology (f.k.a SRM University),India,2026,QS + THE,Matched
,,,,,,,,,,732.0,SRUC (Scotland’s Rural College),United Kingdom,"1,400",4.3,9%,65 : 35,40.4,25.2,14.9,75.4,28.0,65.4,2026.0,SRUC (Scotland’s Rural College),United Kingdom,2026,THE only,THE record not matched in QS
,,,,,,,,,,1426.0,St Francis Xavier University,Canada,"4,575",17.9,7%,62 : 38,28.3565,17.5,18.2,43.1,27.9,51.6,2026.0,St Francis Xavier University,Canada,2026,THE only,THE record not matched in QS
,,,,,,,,,,1834.0,St Petersburg Electrotechnical University (LETI),Russian Federation,"9,024",14.2,19%,31 : 69,21.3675,22.2,15.2,19.7,39.2,39.1,2026.0,St Petersburg Electrotechnical University (LETI),Russian Federation,2026,THE only,THE record not matched in QS
3,6,Stanford University,United States of America,Americas,L,FC,VH,Private not for Profit,100.0,5.0,Stanford University,United States,"17,422",5.9,25%,48 : 52,97.151,97.5,97.4,99.5,100.0,83.9,2026.0,Stanford University,United States,2026,QS + THE,Matched
,,,,,,,,,,2103.0,State Islamic University of Sunan Gunung Djati Bandung,Indonesia,"31,937",31.3,0%,67 : 33,15.375999999999998,10.7,9.1,25.0,16.2,19.1,2026.0,State Islamic University of Sunan Gunung Djati Bandung,Indonesia,2026,THE only,THE record not matched in QS
,,,,,,,,,,1804.0,"State University ""Kyiv Aviation Institute""",Ukraine,"15,407",10.5,4%,40 : 60,22.154,22.3,9.0,34.8,17.2,24.5,2026.0,"State University ""Kyiv Aviation Institute""",Ukraine,2026,THE only,THE record not matched in QS
1401+,1401+,State University Malang (Universitas Negeri Malang),Indonesia,Asia,XL,FO,VH,Public,10.5,,,,,,,,,,,,,,,State University Malang (Universitas Negeri Malang),Indonesia,2026,QS only,QS record not matched in THE
,,,,,,,,,,2179.0,State University of Bahia,Brazil,"23,621",10.6,0%,67 : 33,12.988,22.1,8.8,5.2,17.1,22.3,2026.0,State University of Bahia,Brazil,2026,THE only,THE record not matched in QS
,,,,,,,,,,1719.0,State University of Malang,Indonesia,"37,201",26.4,4%,55 : 45,23.778,21.1,11.5,34.5,26.4,37.5,2026.0,State University of Malang,Indonesia,2026,THE only,THE record not matched in QS
,,,,,,,,,,1844.0,State University of Ponta Grossa,Brazil,"8,076",8.9,1%,46 : 54,21.2405,26.2,19.0,16.9,20.6,28.1,2026.0,State University of Ponta Grossa,Brazil,2026,THE only,THE record not matched in QS
,,,,,,,,,,1934.0,State University of Santa Cruz,Brazil,"7,689",9.3,2%,56 : 44,19.028,26.1,10.1,16.4,19.3,36.1,2026.0,State University of Santa Cruz,Brazil,2026,THE only,THE record not matched in QS
,,,,,,,,,,2147.0,State University of Southwestern Bahia (UESB),Brazil,"9,315",9.4,0%,59 : 41,14.292500000000002,26.6,8.7,6.0,16.5,19.5,2026.0,State University of Southwestern Bahia (UESB),Brazil,2026,THE only,THE record not matched in QS
1401+,1401+,Stefan cel Mare University of Suceava,Romania,Europe,M,CO,HI,Public,5.5,1625.0,Ştefan cel Mare University of Suceava,Romania,"9,043",22.0,15%,60 : 40,25.3025,17.4,15.8,39.7,22.0,37.3,2026.0,Stefan cel Mare University of Suceava,Romania,2026,QS + THE,Matched
302,296,Stellenbosch University,South Africa,Africa,L,FC,VH,Public,36.7,326.0,Stellenbosch University,South Africa,"25,956",26.8,7%,58 : 42,52.815,34.8,40.8,75.5,91.8,58.6,2026.0,Stellenbosch University,South Africa,2026,QS + THE,Matched
673,701-710,Stevens Institute of Technology,United States of America,Americas,M,FO,VH,Private not for Profit,4.0,520.0,Stevens Institute of Technology,United States,"7,887",20.8,40%,29 : 71,45.762,27.6,25.2,72.2,67.8,79.2,2026.0,Stevens Institute of Technology,United States,2026,QS + THE,Matched
147,128,Stockholm University,Sweden,Europe,L,CO,VH,Public,65.1,204.0,Stockholm University,Sweden,"27,746",16.2,14%,,58.46,33.5,48.4,87.2,66.1,76.5,2026.0,Stockholm University,Sweden,2026,QS + THE,Matched
452,460,Stony Brook University,United States of America,Americas,L,FC,VH,Public,24.2,313.0,Stony Brook University,United States,"24,947",9.8,17%,54 : 46,53.5595,43.4,30.8,78.9,68.3,72.3,2026.0,Stony Brook University,United States,2026,QS + THE,Matched
1401+,1201-1400,Suez Canal University,Egypt,Africa,XL,FC,HI,Public,6.1,1275.0,Suez Canal University,Egypt,"51,841",14.4,2%,45 : 55,30.693499999999997,20.0,9.9,56.3,28.5,51.9,2026.0,Suez Canal University,Egypt,2026,QS + THE,Matched
,,,,,,,,,,1150.0,Suez University,Egypt,"18,398",16.9,3%,56 : 44,32.8825,17.7,10.5,66.1,25.9,50.0,2026.0,Suez University,Egypt,2026,THE only,THE record not matched in QS
,,,,,,,,,,684.0,Sukkur IBA University,Pakistan,"5,580",19.6,0%,30 : 70,41.7045,19.6,26.7,77.9,26.3,50.1,2026.0,Sukkur IBA University,Pakistan,2026,THE only,THE record not matched in QS
,,,,,,,,,,1481.0,Süleyman Demirel University,Turkey,"32,526",28.9,5%,52 : 48,27.482,27.6,11.5,43.8,24.0,25.4,2026.0,Süleyman Demirel University,Turkey,2026,THE only,THE record not matched in QS
334,362,Sultan Qaboos University,Oman,Asia,M,FC,VH,Public,28.9,577.0,Sultan Qaboos University,Oman,"7,375",8.3,4%,50 : 50,44.45,30.9,24.6,70.1,40.7,73.9,2026.0,Sultan Qaboos University,Oman,2026,QS + THE,Matched
1001-1200,,Sumgait State University,Azerbaijan,Asia,M,CO,MD,Public,14.1,,,,,,,,,,,,,,,Sumgait State University,Azerbaijan,2026,QS only,QS record not matched in THE
